Orig,Name,TotalSeats,Country Name,Airport1Latitude,Airport1Longitude
JNB,O.R. Tambo International Airport,7239329.419,South Africa,-26.14030075,28.24279976
LIM,Jorge Chavez Intl,7214674.649,Peru,-12.02670002,-77.12280273
MEL,Melbourne Airport,7110682.649,Australia,-37.6617012,144.8332977
SCL,Arturo Merino Benitez Airport,7009498.433,Chile,-33.38669968,-70.78500366
AKL,Auckland Intl,7004294.5,New Zealand,-37.01110077,174.7991943
BHX,Birmingham Airport,6872384.981,United Kingdom,52.4530983,-1.746399999
BOG,El Dorado Intl,6868476.615,Colombia,4.706099987,-74.14219666
SHJ,Sharjah,6864498.921,United Arab Emirates,25.3458004,55.39580154
BAH,Bahrain Intl,6799408.595,Bahrain,26.27079964,50.63750076
DME,Domodedovo,6671273.119,Russian Federation,55.40000153,37.88330078
CMN,Mohammed V,6628489.077,Morocco,33.36669922,-7.586699963
KBP,Boryspil International,6556431.287,Ukraine,50.33739853,30.89419937
CMB,Bandaranaike Intl,6461542.92,Sri Lanka,7.175000191,79.88469696
FLL,Ft Lauderdale Intl,6461105.287,United States,26.07419968,-80.15170288
OPO,Porto,6315676.808,Portugal,41.23809815,-8.674699783
HKT,Phuket Intl,6298440.134,Thailand,8.110600472,98.3125
SXF,Schoenefeld,6291360.012,Germany,52.5,13.50829983
VCE,Marco Polo,6231971.914,Italy,45.5,12.35000038
NCE,Cote D'Azur,6147300.761,France,43.66389847,7.21750021
PUS,Gimhae Intl,6137321.862,South Korea,35.17079926,129.1306
IAD,Dulles International,6062794.262,United States,38.94169998,-77.45749664
STR,Stuttgart Airport,6051675.784,Germany,48.68830109,9.210000038
AMM,Queen Alia Intl,5944759.009,Jordan,31.71699905,36
BOS,Logan International,5785183.285,United States,42.36360169,-71.00610352
BGY,Bergamo/Orio Al Serio,5664795.213,Italy,45.66830063,9.700300217
BEY,Rafic Hariri International,5599397.244,Lebanon,33.81280136,35.49029923
EDI,Turnhouse,5578659.506,United Kingdom,55.94860077,-3.350300074
CGN,Cologne/Bonn Airport,5485720.989,Germany,50.86579895,7.141900063
TFS,Tenerife-Sur,5041480.164,Spain,28.0428009,-16.57060051
DAC,Hazrat Shahjalal International,5035855.93,Bangladesh,23.78059959,90.38610077
BSL,EuroAirport Swiss,5006421.861,Switzerland,47.59030151,7.53030014
MFM,Macau International,4959616.795,Macau (SAR),22.23329926,113.5832977
LYS,Satolas,4860313.101,France,45.7256012,5.081699848
NGO,Chubu Centrair Intl,4819049.942,Japan,34.85900116,136.8144989
MCO,Orlando Intl,4707358.201,United States,28.43169975,-81.3246994
RIX,Riga-Arpt Internaitonal,4669687.099,Latvia,57.01670075,24.04999924
FAO,Faro,4648650.384,Portugal,37.01440048,-7.970799923
NBO,Jomo Kenyatta Intl,4633012.587,Kenya,-1.316699982,36.93080139
CRL,Brussels S. Charleroi,4614380.687,Belgium,50.45920181,4.45389986
IKA,Imam Khomeini International,4551175.216,Iran,35.40969849,51.1507988
VKO,Vnukovo,4547028.535,Russian Federation,55.58330154,37.26670075
KRK,John Paul Ii Balice In,4528188.651,Poland,50.08330154,19.7833004
BLQ,Guglielmo Marconi,4512520.523,Italy,44.5306015,11.29249954
MLA,Luqa International,4415621.644,Malta,35.83670044,14.5472002
KEF,Keflavik Intl,4313631.49,Iceland,63.98529816,-22.60420036
BRS,Bristol Airport,4307209.984,United Kingdom,51.38169861,-2.708899975
CTU,Shuangliu International,4301611.748,China,30.57999992,103.949997
PUJ,Punta Cana International,4292356.46,Dominican Republic,18.56669998,-68.38330078
NAP,Capodichino,4211039.049,Italy,40.88610077,14.29170036
LCA,Larnaca,4185487.348,Cyprus,34.87779999,33.63059998
SEA,Seattle-Tacoma Intl,4176431.378,United States,47.44919968,-122.3080978
BNE,Brisbane Intl,4171262.109,Australia,-27.38500023,153.1163025
FUK,Fukuoka,4153444.813,Japan,33.5821991,130.4532929
TUN,Carthage,4112818.605,Tunisia,36.85250092,10.22939968
PNH,Phnom Penh International,4094152.041,Cambodia,11.54609966,104.8478012
DAD,Da Nang International,4078791.556,Vietnam,16.04220009,108.203598
SJO,Juan Santamaria Intl,4075749.79,Costa Rica,9.993900299,-84.20890045
LED,Pulkovo,4042896.984,Russian Federation,59.79999924,30.29999924
SZX,Bao'an International,4040210.524,China,22.54999924,113.9167023
SOF,Sofia-Vrazhdebna,3937878.063,Bulgaria,42.70000076,23.39999962
MRS,Marignane,3929238.061,France,43.43560028,5.216400147
ALG,Houari Boumediene,3904925.598,Algeria,36.69329834,3.217200041
HAV,Jose Marti Intl,3890397.049,Cuba,22.98940086,-82.40750122
DTW,Metropolitan Wayne County,3870192.27,United States,42.21670151,-83.3443985
BEG,Nikola Tesla Airport,3784611.187,Serbia,44.81919861,20.31220055
YYC,Calgary Intl,3745059.563,Canada,51.1128006,-114.0196991
VLC,Valencia Airport,3672499.145,Spain,39.48860169,-0.481900007
CIA,Ciampino,3656605.701,Italy,41.79940033,12.59329987
EIN,Eindhoven,3632960.52,Netherlands,51.45330048,5.388899803
PHL,Philadelphia Intl,3585245.524,United States,39.86809921,-75.24859619
MAA,Chennai International Airport,3577537.117,India,12.99330044,80.17690277
RAK,Menara,3504292.085,Morocco,31.60829926,-8.038299561
KHH,Kaohsiung Intl,3494967.469,Taiwan,22.57250023,120.3452988
HNL,Honolulu Intl,3473579.781,United States,21.32189941,-157.925293
MSP,Minneapolis International,3465706.72,United States,44.88610077,-93.21779633
MBJ,Sangster Intl,3428174.274,Jamaica,18.50189972,-77.91249847
AUA,Reina Beatrix,3390247.525,Aruba,12.50220013,-70.01390076
HGH,Xiaoshan International,3281809.867,China,30.23600006,120.4389038
GOT,Goteborg-Landvetter Airport,3281428.563,Sweden,57.66669846,12.2833004
KMG,Changshui International,3272329.263,China,25.10390091,102.9428024
LPA,Gran Canaria,3266640.034,Spain,27.93190002,-15.38329983
SAL,El Salvador Intl,3216216.913,El Salvador,13.43999958,-89.05999756
HAJ,Hannover,3148617.78,Germany,52.46110153,9.68500042
