Code;Name;Country;Latitude;Longitude
VCE;Marco Polo;Italy;45.5;12.35000038
NCE;Cote D'Azur;France;43.66389847;7.21750021
PUS;Gimhae Intl;South Korea;35.17079926;129.1306
IAD;Dulles International;United States;38.94169998;-77.45749664
STR;Stuttgart Airport;Germany;48.68830109;9.210000038
AMM;Queen Alia Intl;Jordan;31.71699905;36
BOS;Logan International;United States;42.36360169;-71.00610352
BGY;Bergamo/Orio Al Serio;Italy;45.66830063;9.700300217
BEY;Rafic Hariri International;Lebanon;33.81280136;35.49029923
EDI;Turnhouse;United Kingdom;55.94860077;-3.350300074
CGN;Cologne/Bonn Airport;Germany;50.86579895;7.141900063
TFS;Tenerife-Sur;Spain;28.0428009;-16.57060051
DAC;Hazrat Shahjalal International;Bangladesh;23.78059959;90.38610077
BSL;EuroAirport Swiss;Switzerland;47.59030151;7.53030014
MFM;Macau International;Macau (SAR);22.23329926;113.5832977
LYS;Satolas;France;45.7256012;5.081699848
NGO;Chubu Centrair Intl;Japan;34.85900116;136.8144989
MCO;Orlando Intl;United States;28.43169975;-81.3246994
RIX;Riga-Arpt Internaitonal;Latvia;57.01670075;24.04999924
FAO;Faro;Portugal;37.01440048;-7.970799923
NBO;Jomo Kenyatta Intl;Kenya;-1.316699982;36.93080139
CRL;Brussels S. Charleroi;Belgium;50.45920181;4.45389986
IKA;Imam Khomeini International;Iran;35.40969849;51.1507988
VKO;Vnukovo;Russian Federation;55.58330154;37.26670075
KRK;John Paul Ii Balice In;Poland;50.08330154;19.7833004
BLQ;Guglielmo Marconi;Italy;44.5306015;11.29249954
MLA;Luqa International;Malta;35.83670044;14.5472002
KEF;Keflavik Intl;Iceland;63.98529816;-22.60420036
BRS;Bristol Airport;United Kingdom;51.38169861;-2.708899975
CTU;Shuangliu International;China;30.57999992;103.949997
PUJ;Punta Cana International;Dominican Republic;18.56669998;-68.38330078
NAP;Capodichino;Italy;40.88610077;14.29170036
LCA;Larnaca;Cyprus;34.87779999;33.63059998
SEA;Seattle-Tacoma Intl;United States;47.44919968;-122.3080978
BNE;Brisbane Intl;Australia;-27.38500023;153.1163025
FUK;Fukuoka;Japan;33.5821991;130.4532929
TUN;Carthage;Tunisia;36.85250092;10.22939968
PNH;Phnom Penh International;Cambodia;11.54609966;104.8478012
DAD;Da Nang International;Vietnam;16.04220009;108.203598
SJO;Juan Santamaria Intl;Costa Rica;9.993900299;-84.20890045
LED;Pulkovo;Russian Federation;59.79999924;30.29999924
SZX;Bao'an International;China;22.54999924;113.9167023
SOF;Sofia-Vrazhdebna;Bulgaria;42.70000076;23.39999962
MRS;Marignane;France;43.43560028;5.216400147
ALG;Houari Boumediene;Algeria;36.69329834;3.217200041
HAV;Jose Marti Intl;Cuba;22.98940086;-82.40750122
DTW;Metropolitan Wayne County;United States;42.21670151;-83.3443985
BEG;Nikola Tesla Airport;Serbia;44.81919861;20.31220055
YYC;Calgary Intl;Canada;51.1128006;-114.0196991
VLC;Valencia Airport;Spain;39.48860169;-0.481900007
CIA;Ciampino;Italy;41.79940033;12.59329987
EIN;Eindhoven;Netherlands;51.45330048;5.388899803
